"","","Time_aclhs_sub48","Temp_aclhs_sub48","CO2_aclhs_sub48"
"1",71,71,6.91186,0.98624
"2",88,88,4.25335,1.04435
"3",1,1,9.38427,1.08379
"4",2,2,4.17416,1.09919
"5",57,57,1.68369,1.1238
"6",6,6,1.48447,1.14309
"7",18,18,2.35925,1.18505
"8",32,32,0.9025,1.26893
"9",26,26,3.43383,1.41429
"10",111,111,15.07984,1.517
"11",324,324,6.53066,1.54047
"12",24,24,2.92184,1.8779
"13",16,16,1.35647,1.94525
"14",318,318,9.19961,2.17439
"15",103,103,4.89228,2.2116
"16",93,93,9.42878,2.50971
"17",98,98,11.12,2.64598
"18",86,86,7.73169,2.80156
"19",363,363,4.9148,3.22668
"20",303,303,13.93694,3.26042
"21",350,350,10.50487,3.51412
"22",297,297,13.58219,3.68688
"23",331,331,8.06016,3.87643
"24",122,122,12.03504,3.94277
"25",278,278,14.59919,4.08077
"26",311,311,12.2715,4.22441
"27",125,125,15.42929,4.45912
"28",146,146,17.08616,4.67501
"29",100,100,13.11332,4.89324
"30",151,151,19.19541,5.41744
"31",250,250,19.58344,5.58079
"32",248,248,20.46028,5.94708
"33",271,271,17.64628,6.00163
"34",148,148,19.04456,6.68696
"35",252,252,21.21014,6.89915
"36",240,240,18.01959,7.22934
"37",131,131,17.03241,7.52865
"38",215,215,21.17591,7.78455
"39",160,160,18.42628,8.48551
"40",130,130,16.36788,8.81597
"41",181,181,19.45734,9.14825
"42",204,204,20.38363,9.9709
"43",237,237,20.05613,10.16455
"44",234,234,19.69948,10.56123
"45",189,189,21.65397,11.43165
"46",175,175,20.84606,11.9418
"47",172,172,21.06041,12.94685
"48",171,171,20.60214,14.8353
