"","clhs_sub48","Time_clhs_sub48","Temp_clhs_sub48","CO2_clhs_sub48"
"1",53,53,1.29276813654713,1.5113719994308
"2",255,255,20.3556428571429,3.52862357142857
"3",188,188,21.1069375,10.545894375
"4",97,97,11.12415625,2.7062290625
"5",21,21,3.00562849802462,1.85231769230769
"6",142,142,13.816064516129,6.72064161290323
"7",52,52,4.89001855681722,1.30497428066598
"8",221,221,19.56865625,7.195824375
"9",157,157,16.10928125,8.169459375
"10",233,233,21.261724137931,12.0030079310345
"11",93,93,9.42878125,2.50970843749999
"12",40,40,2.61679310344828,1.19187506896552
"13",305,305,11.54709375,2.89365718750001
"14",292,292,14.19353125,3.324854375
"15",88,88,4.25335483870968,1.04434951612903
"16",71,71,6.91186447640616,0.986243929271762
"17",79,79,4.22293548387097,1.11478970967742
"18",201,201,22.6606538461538,13.8527923076923
"19",323,323,6.395375,1.5974625
"20",42,42,2.19909677419355,1.08130712903226
"21",134,134,14.7301034482759,4.9546751724138
"22",333,333,6.19965625,2.2020184375
"23",311,311,12.2715,4.22441
"24",66,66,2.80003997467228,1.09736251376152
"25",125,125,15.4292903225806,4.45911709677419
"26",205,205,19.63103125,8.979570625
"27",254,254,20.1218667742429,2.71111695680389
"28",318,318,9.19961290322581,2.17438806451613
"29",143,143,14.1452222222222,5.66924407407408
"30",136,136,15.40596875,4.6432465625
"31",123,123,12.872935483871,5.64103516129032
"32",339,339,7.96975862068966,3.92170620689655
"33",326,326,5.50812903225806,1.94464774193548
"34",257,257,17.59065625,4.0353275
"35",242,242,19.05340625,6.36075250000001
"36",160,160,18.42628125,8.48550531250001
"37",354,354,10.4837544890695,5.96106990408448
"38",208,208,20.54125,9.5429325
"39",153,153,18.03159375,9.6386471875
"40",236,236,19.3185625,10.223734375
"41",177,177,19.73265625,11.5143871875
"42",191,191,21.471347826087,12.0215069565217
"43",246,246,20.770875,7.42168
"44",133,133,16.6870769230769,5.12856115384618
"45",29,29,1.2539375,1.29432578125
"46",338,338,8.1180625,3.8458878125
"47",4,4,1.6361411373597,1.1611720257578
"48",262,262,17.2975806451613,3.51375677419355
