"","fixed_sub48","Time_fixed_sub48","Temp_fixed_sub48","CO2_fixed_sub48"
"1",1,1,9.38427,1.08379
"2",9,9,5.52444,1.04344
"3",16,16,1.35647,1.94525
"4",24,24,2.92184,1.8779
"5",32,32,0.9025,1.26893
"6",40,40,2.61679,1.19188
"7",47,47,1.5856,1.04369
"8",55,55,4.95669,1.09145
"9",63,63,1.47751,1.04705
"10",71,71,6.91186,0.98624
"11",78,78,4.87897,1.10046
"12",86,86,7.73169,2.80156
"13",94,94,10.53942,2.75142
"14",102,102,12.39177,5.12736
"15",109,109,5.70126,1.83147
"16",117,117,9.37489,2.94056
"17",125,125,15.42929,4.45912
"18",133,133,16.68708,5.12856
"19",140,140,16.85519,6.69418
"20",148,148,19.04456,6.68696
"21",156,156,15.03177,7.92277
"22",164,164,20.86219,10.99705
"23",171,171,20.60214,14.8353
"24",179,179,19.77938,10.28761
"25",187,187,20.19306,10.90039
"26",195,195,20.79303,12.02843
"27",202,202,22.51319,14.67704
"28",210,210,21.68009,10.88058
"29",218,218,20.72675,8.82543
"30",226,226,19.31454,8.83121
"31",233,233,21.26172,12.00301
"32",241,241,18.37197,6.61771
"33",249,249,19.42241,5.64422
"34",257,257,17.59066,4.03533
"35",264,264,19.42606,3.52155
"36",272,272,18.17583,6.78177
"37",280,280,16.34381,3.49787
"38",288,288,19.04812,5.73029
"39",295,295,14.21272,4.11158
"40",303,303,13.93694,3.26042
"41",311,311,12.2715,4.22441
"42",319,319,7.86845,2.19628
"43",326,326,5.50813,1.94465
"44",334,334,7.43247,2.02556
"45",342,342,11.14179,3.75569
"46",350,350,10.50487,3.51412
"47",357,357,11.96562,4.44246
"48",365,365,8.90855,1.10329
