"","X_clhs_sub50","Y_clhs_sub50","Temp_clhs_sub50","Rs_clhs_sub50"
"1",-693,382,7.96986293792725,468.184112548828
"2",-393,182,8.99657535552979,424.020355224609
"3",-393,-18,9.39931488037109,496.945770263672
"4",2007,-2018,25.3945198059082,1022.17596435547
"5",507,282,6.30068492889404,709.301818847656
"6",-1393,-618,12.2773971557617,584.14990234375
"7",-1693,382,8.77054786682129,1160.50012207031
"8",307,-1718,21.6280822753906,1218.58264160156
"9",-1693,-18,7.43082189559937,458.465759277344
"10",207,-18,8.21986293792725,599.591125488281
"11",-793,-1518,16.7184944152832,394.332305908203
"12",307,-1518,20.1698627471924,1154.61059570312
"13",2307,682,4.48493146896362,807.033752441406
"14",1207,-818,15.7157535552979,739.552734375
"15",1407,-1618,20.9363021850586,1093.65551757812
"16",807,-318,11.7767124176025,836.728393554688
"17",1707,-218,10.1986303329468,664.754699707031
"18",-293,-1218,16.0136985778809,524.810852050781
"19",-1693,-718,18.4773979187012,1094.88940429688
"20",1707,-1818,23.6130142211914,1324.12451171875
"21",207,-1318,19.2684936523438,986.183044433594
"22",-1293,282,9.18835639953613,612.354431152344
"23",-93,-1418,19.1753425598145,434.14892578125
"24",-1093,482,5.59657526016235,776.004638671875
"25",-493,-18,9.49657535552979,689.195373535156
"26",1507,-1018,17.1068496704102,1267.98657226562
"27",1807,-1318,20.6815071105957,1274.13525390625
"28",-1193,-318,8.29383563995361,650.313903808594
"29",-493,-1318,13.0671234130859,518.219604492188
"30",-393,-1018,12.5856161117554,542.137573242188
"31",307,-1818,22.4726028442383,1328.31274414062
"32",407,-518,13.4801368713379,859.387634277344
"33",907,-718,15.2691783905029,1064.78955078125
"34",-393,-318,10.663013458252,577.553161621094
"35",907,382,6.68904113769531,500.846466064453
"36",-1993,-218,12.1787672042847,1025.76599121094
"37",1407,-618,13.6616439819336,914.92822265625
"38",1607,-218,11.4869861602783,630.132690429688
"39",-1593,-1018,17.6602745056152,177.052154541016
"40",-1793,-718,18.4589042663574,316.523712158203
"41",-593,-1418,17.8582191467285,374.238006591797
"42",2207,682,4.67397260665894,883.711364746094
"43",-293,-218,10.8136987686157,634.615417480469
"44",-1793,-1018,16.297945022583,553.691040039062
"45",-793,-618,14.0287666320801,567.914672851562
"46",2207,-18,11.2157535552979,824.158874511719
"47",707,282,6.95547962188721,545.759216308594
"48",-1893,182,10.5739727020264,1381.30712890625
"49",1807,-218,9.96301364898682,711.962707519531
"50",607,-618,14.6547946929932,761.728515625
